AFG  = afghanistan 
OMGYG2BK = oh my God (,) you got to be kidding
OMGYS = oh my gosh you suck
OMS = on my soul
OMW = on my way
ONL = online
OO = over and out
OOC = out of character
OOH = out of here
OOMF = one of my followers
OOTD = one of these days
OOTD = outfit of the day
OOTO = out of the office
OP = on phone
ORLY = oh really ("?")
OS = operating system
OT = off topic
OTB = off to bed
OTFL = on the floor laughing
OTL = out to lunch
OTOH = on the other hand
OTP = on the phone
OTP = one true pairing; two people you would love to see as a couple
OTT = over the top
OTTOMH = off the top of my head
OTW = off to work
OVA = over
OYO = on your own
P = partner
P2P = parent to parent
P2P = peer to peer
P2P = pay to play
P911 = parents coming into room alert
PAP = post a picture
PAT = patrol
PAW = parents are watching
PBOOK = phonebook
PC = player character
PCM = please call me
PDA = personal display of affection
PDH = pretty darn happy
PDS = please don’t shoot
PDQ = pretty darn quick
ppl = people
PFT = pretty freaking tight
PIC = picture
PICs = pictures
PIP = peeing in pants
PIR = parents in room
PISS = put in some sugar
PITA = pain in the ass
PKMN = pokemon
PL8 = plate
PLD = played
PLMK = please let me know
PLS = please
PLU = people like us
PLZ = please
PLZTLME = please tell me
PM = private Message
PMFI = pardon me for interrupting
PMFJI = pardon me for jumping in
PMSL = pee myself laughing
POAHF = put on a happy face
POIDH = picture (,) or it didn’t happen
POS = parent over shoulder
POT = potion
POTD = photo of the day
POV = point of view
POV = privately owned vehicle
PPL = people
PPU = pending pick-up
PRESH = precious
PROBS = probably
PROLLY = probably
PROGGY = computer program
PORN = pornography
PRT = party
PRT = please Retweet
PRW = people are watching
PRW = parents are watching
PSA = public Service Announcement
PSOS = parent standing over shoulder
PSP = playstation Portable
PST = please send tell
PTFO = pass the Freak out
PTIYPASI = put that in your pipe and smoke it
PTL = praise the Lord
PTMM = please tell me more
PTO = paid time off
PTO = personal time off
PTO = parent Teacher Organization
PUG = pick up group
PVE = player vs enemy (,) Player versus environment
PVP = player versus player
PWN = own
PXT = please explain that
PU = that stinks "!"
PUKS = pick up kids
PYT = pretty young thing
PZ = peace
PZA = pizza
Q = queue
Q4U = i have a question for you
QC = quality control
QFE = question for everyone
QFI = quoted for idiocy
QFI = quoted for irony
QFT = quoted for truth
QIK = quick
QL = quit laughing
QOTD = quote of the day
QQ = crying eyes
qq = crying eyes
Q_Q = crying eyes
QQ = quick question
QSL = reply
QSO = conversation
QT = cutie
QTPI = cutie pie
R = are
R8 = rate
RBAY = right back at you
RFN = right freaking now
RGR = i agree
RHIP = rank has its privileges
RIP = rest in peace
RL = real life
RLY = really
RME = rolling my eyes
RMLB = read my lips baby
RMMM = read my mail man
ROFL = rolling on floor laughing
ROFLCOPTER = rolling on floor laughing and spinning around
ROFLMAO = rolling on the floor (,) laughing my ass off
ROTFL = rolling on the floor laughing
ROTFLUTS = rolling on the floor laughing unable to speak
RS = runescape
RSN = real soon now
RT = roger that
RT = retweet
RTBS = reason to be single
RTFM = read the freaking manual
RTFQ = read the freaking question
RTHX = thanks for the RT
RTMS = read the manual (,) stupid
RTNTN = retention
RTRCTV = retroactive
RTRMT = retirement
RTSM = read the stupid manual
RTWFQ = read the whole freaking question
RU = are you ("?")
RUMOF = are you male or female ("?")
RUT = are you there ("?")
RUOK = are you okay ("?")
RX = regards
RW = real world
RX = drugs
RX = prescriptions
RYO = roll your own
RYS = read your screen
RYS = are you single ("?")
S2R = send to receive
S2S = sorry to say
S4L = spam for life
SAL = such a laugh
SAT = sorry about that
SAVAGE = shockingly careless expression or response to an event or message
SB = snap back
SB = snap back
SB = should be
SB = smiling back
SBIA = standing back in amazement
SBT = sorry ’bout that
SC = stay cool
SD = sweet dreams
SDMB = sweet dreams (,) my baby
SENPAI = someone older than you
SEO = search engine optimization
SETE = smiling ear-to-ear
SELFIE = a photo that is taken of oneself for social media sharing
SFAIK = so far as I know
SH = same here
SH^ = shut up
SHID = slapping head in disgust
SHIP = wishing two people were in a relationship
SICNR = sorry (,) I could not resist
SIG2R = sorry (,) I got to run
SIHTH = stupidity is hard to take
SIMYC = sorry I missed your call
SIR = strike it rich
SIS = snickering in silence
SIS = sister
SIT = stay in touch
SITD = still in the dark
SJW = social justice warrior
SK8 = skate
SK8NG = skating
SK8R = skater
SK8RBOI = skater Boy
SLAP = sounds like a plan
Slay = to succeed at something
SM = social media
SMAZED = smoky haze
SMEXI = sexy mexican
SMH = shaking my head
SMHID = scratching my head in disbelief
SNAFU = situation normal all fouled up
SNERT = snot nosed egotistical rude teenager
SNR = streaks and Recents
SO = significant other
SOAB = son of a bitch
S’OK = it’s okay
SOL = sooner or later
SOMY = sick of me yet ("?")
SorG = straight or Gay ("?")
SOS = i need help
SOS = son of Sam
SOT = short of time
SOTMG = short of time (,) must go
SOWM = someone with me
SPK = speak
SRSLY = seriously
SPST = same place (,) same time
SPTO = spoke to
SQ = square
SRY = sorry
SS = so sorry
SSDD = same stuff (,) different day
SSIF = so stupid it’s funny
SSINF = so stupid it’s not funny
ST&D = stop texting and drive
Stan = fan of someone
STFU = shut the Freak up
STR8 = straight
STW = search the Web
SU = shut up
SUITM = see you in the morning
SUL = see you later
SUP = what’s up ("?")
SUTH = so used to haters
SUYF = shut up you fool
SWAG = free stuff and giveaways from tech tradeshows
SWAG = scientific wild ass guess
SWAK = sent with a kiss
SWALK = sealed with a loving kiss
SWAT = scientific wild butt guess
SWL = screaming with laughter
SWMBO = she who must be obeyed
SYL = see you later
SYS = see you soon
SUX = it sucks
SYY = shut your yapper
T+ = think positive
T4BU = thanks for being you
T:)T = think happy thoughts
TA = thanks a lot
TAFN = that’s all for now
TAM = tomorro a.m.
TANK = really strong
TANKED = owned
TANKING = owning
TARFU = things Are Really fouled Up
TAU = thinking about you
TAUMUALU = thinking about you miss you always love you
TBA = to be announced
TBAG = process of disgracing a corpse (,) taunting a fragged/killed player
TBBH = to be brutally honest
TBC = to be continued
TBD = to be determined
TBH = to be honest
TBL = text back later
TBT = throwback Thursday
TC = take care
TCB = take care of business
TCOY = take care of yourself
TD = tower defense
TD2M = talk dirty to me
TDTM = talk dirty to me
TEA = gossip
TFF = too freaking funny
TFS = thanks for sharing
TFTF = thanks for the follow
TFTI = thanks for the invitation
TFTT = thanks for this tweet
TG = thank goodness
TGIF = thank god it’s friday
THNQ = thank-you
THNX = thanks
THOT = that whore over there
THT = think happy thoughts
THX = thanks
TIA = thanks in advance
TIAD = tomorrow is another day
TIC = tongue-in-cheek
TIL = today I learned
TILIS = tell it like it is
TIR = teacher in room
TLK2UL8R = talk to you later
TL = too long
TL;DR = too long; didn’t read
TM = trust me
TMA = take my advice
TMB = text me back
TMB = tweet me back
TMI = too much information
TMOT = trust me on this
TMTH = too much to handle
TMYL = tell me your location
TMWFI = take my word for it
TNSTAAFL = there’s no such thing as a free lunch
TNT = til next time
TOJ = tears of joy
TOS = terms of service
TOTES = totally
TOU = thinking of you
TOY = thinking of you
TPM = tomorrow p.m.
TPTB = the powers that be
TSH = tripping so hard
TSNF = that’s so not fair
TSTB = the sooner (,) the better
TT = trending topic
TTFN = ta ta for now
TTLY = totally
TTTT = these things take time
TTUL = talk to you later
TU = thank you
TUI = turning you in
TURNT = excitement
TWSS = that’s what she said
TTG = time to go
TTYAFN = talk to you awhile from now
TTYL = talk to you later
TTYS = talk to you soon
TY = thank you
TYFC = thank you for charity
TYFYC = thank you for your comment
TYS = told you so
TYT = take your time
TYSO = thank you so much
TYAFY = thank you and Freak you
TYVM = thank you very much
TX = thanks
U = you
^URS = up yours
UCMU = you crack me up
UDI = unidentified drinking injury
UDM = you the man
UDS = ugly domestic scene
UFB = un freaking believable
UFN = until further notice
UFWM = you freaking with me ("?")
UGTBK = you’ve got to be kidding
UHGTBSM = you have got to be s#$t*ing me "!"
UKTR = you know that’s right
UL = upload
U-L = you will
UNA = use no acronyms
UN4TUN8 = unfortunate
UNBLEFBLE = unbelievable
UNCRTN = uncertain
UNPC = not politically correct
UP2U = up to you
UOK = are you ok ("?")
UR = you are
UR = you’re
UR2YS4ME = you are too wise for me
URA* = you are a star
URH = you are hot
URSKTM = you are so kind to me
URTM = you are the man
URW = you are welcome
USBCA = until something better comes along
USU = usually
UT = unreal Tournament
UT2L = you take too long
UTM = you tell me
UV = unpleasant visual
UW = you’re welcome
UX = user experience
V = very
veggie = vegetarian
VAT = value added tax
VBL = visible bra line
VBS = very big smile
VC = voice chat
VEG = very evil grin
VFF = very freaking funny
VFM = value for money
VGC = very good condition
VGG = very good game
VGH = very good hand
VIP = very important person
VM = voice mail
VN = very nice
VNH = very nice hand
VoIP = voice over Internet Protocol
VRY = very
VSC = very soft chuckle
VSF = very sad face
VWD = very well done
VWP = very well played
W@? = what "?"
W@ = what
w/ = with
W/B = welcome back
W3 = wWW
W8 = wait
WAH = working at home
WAJ = what a jerk
WAM = wait a minute
WAN2 = want to ("?") 
WAN2TLK = want to talk
WAREZ = pirated software
WAS = wait a second
WAS = wild ass guess
WAT = what
WAWA = where are we at ("?")
WAYF = where are you from ("?")
W/B = write back
WB = welcome back
WBS = write back soon
WBU = what about you ("?")
WC = welcome
WC = who cares
WCA = who cares anyway
W/E = whatever
W/END = weekend
WE = whatever
WEBO = webopedia
WEEBO = describes a person obsessed with of Japanese culture
WEP = weapon
WHATEVES = whatever
WIBNI = wouldn’t it be nice if
WDALYIC = who died and left you in charge
WDYK = what do you know ("?")
WDYT = what do you think ("?")
WFM = works for me
WGACA = what do you think ("?")
WIIFM = what’s in it for me ("?")
WISP = winning is so pleasurable
WITP = what is the point ("?")
WITW = what in the world
WIU = wrap it up
WK = week
WKD = weekend
WRT = with regard to
WL = whatta loser
W/O = without
WOA = work of Art
WOKE = people who are aware of current social issues (,) and politics
WOMBAT = waste of money (,) brains and time
WOW = world of Warcraft
WRK = work
WRU = where are you ("?")
WRU@ = where are you at ("?")
WRUD = what are you doing ("?")
WTB = want to buy
WTF = what the freak ("?")
WTF = what the fuck ("?")
WTFE = what the freak ever
WTFO = what the freak ("?") (,) over.
WTG = way to go
WTGP = want to go private
WTH = what the heck ("?")
WTM = who’s the man ("?")
WTS = want to sell ("?")
WTT = want to trade ("?")
WU = what’s up ("?")
WUCIWUG = what you see is what you get
WUF = where are you from ("?")
WUP = what’s up ("?")
WUW = what you want ("?")
WUU2 = what are you up to ("?")
WUZ = was
WWJD = what would Jesus do ("?")
WWJD = what would Judd Do ("?")
WWNC = will wonders never cease
WWYC = write when you can
WYCM = will you call me ("?")
WYD = what are you doing ("?")
WYGAM = when you get a minute
WYHAM = when you have a minute
WYLEI = when you least expect it
WYSIWYG = what you see is what you get
WYWH = wish you were here
X-1-10 = exciting
X = kiss
X! = a typical woman
XD = really hard laugh
XD = devilish smile
XME = excuse Me
XOXOXO = hugs & kisses
XLNT = excellent
XLR8 = faster
XLR8 = going faster
XPOST = cross-post
XYL = ex-young lady
XYL = wife
XYZ = examine your zipper
Y? = why "?"
Y = why 
Y = yawn
Y2K = you’re too kind
YA = your
YAA = yet another acronym
YABA = yet another bloody acronym
YARLY = ya (,) really ("?")
YAS = praise
YBIC = your brother in Christ
YBS = you’ll be sorry
YCDBWYCID = you can’t do business when your computer is down
YCHT = you can have them
YCLIU = you can look it up
YCMU = you crack me up
YCT = your comment to
YD = yesterday
YEET = excitement
YF = wife
YG = young gentleman
YGG = you go girl
YGTBKM = you’ve got to be kidding me
YGTR = you got that right
YHBT = you have been trolled
YHBW = you have been warned
YHL = you have lost
YIU = yes (,) I understand
YKW = you know what
YKWYCD = you know what you can do
YL = young lady
YMMV = your mileage may vary
YNK = you never know
YOLO = you only live once
YR = your
YR = yeah right
YRYOCC = you’re running your own cuckoo clock
YSIC = your sister in Christ
YSYD = yeah sure you do
YT = youTube
YT = you there ("?")
YTB = you’re the best
YTB = youth talk back
YTTL = you take too long
YTG = you’re the greatest
YW = you’re welcome
YWHNB = yes (,) we have no bananas
YWHOL = yelling “woohoo” out loud
YWSYLS = you win some (,) you lose some
Z = zero
Z = z’s are calling
Z = said
Z% = zoo
ZH = sleeping Hour
ZOMG = oh My God
ZOT = zero tolerance
ZUP = what’s up "?"
ZUP = what’s up
ZZZZ = sleeping
ZZZZ = bored
ERS2 = are you
