day	دن
public opinion	عوامی رائج
guaco	ذہر مار
upset	الٹنا
upset	گھبرایا
upset	پریشان
upshot	نتیجہ
upturn	طوائف ال ملوکی
cunt	کس
cunt	چوت
cunt	پھدی
impossible	اسمبھو
impossible	ان ہونی
impossible	ناممکن
unpossible	اسمبھو
unpossible	ان ہونی
unpossible	ناممکن
grove	کنج
grove	جھنڈ
grove	باغ
grouping	گروہ سازی
grovelling	زمین پر جھکا ہوا
grovelling	منہ کے بل
grovel	ذلت اختیار کرنا
grovel	زمین پر لیٹنا
grow	اگانا
grow	بڑھانا
bookmark	نشانی
Boolean expression	بولین اظہار
oat	جئی
onus	بار
ontic	وجودی
onto	بات چیت ہونا
wayworn	خستہ
waywardness	خود سری
wayward	خود سر
wayward	غیر مطیع
wayward	بھٹکا ہوا
wayward	البیلا
doubtless	بے شک
doubtless	بلا شبہ
dough	گندھا ہوا اٹا
dough	رقم
dough	رپیہ پیسہ
doughty	بہادر
doughty	دلیر
we	هم
I	میں
glue	سریش
glum	مغموم
glue	گوند
glue	لیس
gloze	تبصرہ کرنا
gloze	چاپلوسی کرنا
glowing	گرم
glow worm	جگن
glow	لپٹ
glowing	دمکتا
Tarbela Dam	تربیلا بند
disgusting	کریہ
dish	قاب
disguise	سوانگ
disgust	گھن
disgust	کراہت
disgusted	اچاٹ
technical	اصطلاحی
technician	ماہر فنیات
technique	اصول مہارت
technical	فنیاتی
teat	سر پستان
technique	فنیات
teat	چسنی
teat	حلمہ
teasing	نیش زنی
nutritive	مغزی
nutritive	غذائت بخش
nutritive	غذا دار
nutritiousness	مقویت
nutritious	قوت بخش
nutritious	مغزی
urine	بول
urology	بولیات
whispering	کھسر پھسر
whispering	کانا پھوسی
whisper	کھسر پھسر کرنا
whispery	سر گوشی سے مشابہ
whisper	سر گوشی کرنا
whiskers	گل مچھے
whisk	بڑی تیز رفتاری سے حرکت کرنا
whisper	کان میں کھس پھسی کرنا
ballot box with check	چیک کے نشان والا بیلٹ باکس
heavy check mark	بھاری چیک کا نشان
cross mark	کراس کا نشان
cross mark button	کراس کے نشان کا بٹن
heavy plus sign	بھاری جمع کا نشان
heavy division sign	بھاری تقسیم کا نشان
water	آب
watchtower	برج
watchtower	برج نگہبانی
good day	خدا حافظ
bye-bye	خدا حافظ
goodby	خدا حافظ
bye	خدا حافظ
good-bye	خدا حافظ
so long	خدا حافظ
goodbye	خدا حافظ
good-by	خدا حافظ
nihilistic	لا وجودیتی
nimble	چابک دست
repatriation	وطن واپسی
repatriate	ملک واپس بھیجنا
repay	چکانا
repast	کھوراک
repast	کھانا
repay	واپس ادا کرنا
repay	تلافی کرنا
hound	کتا
dog	کتا
indicate	ظاہر کرنا
indicant	نمائندہ
Pakistan Red Crescent Society	انجمن ہلال احمر پاکستان
fax	نسخۂ کامل
fax	فاکس
breed	نسل
Philip Khuri Hitti	فلپ خوری حتی
Hausa	ھاوسا
article	مضمون
article	شئے
artfulness	چالاکی
artfulness	صفائ
Arthritis	گانٹھی کی بیماری
Arthritis	گٹھیا
article	بیان
article	بابت
article	چیز
article	مقالہ
Gujarati	گجراتي
Gujarati script	گجراتي
India	گجراتي
migrator	تارک وطن
migrational	ہجرتی
migration	انتقال
migrant	نقل مکانی کرنے والا
migrate	ہجرت کرنا
migrational	مہاجرانہ
migrator	مہاجر
migration	نقل مکانی
migrational	ہجرتی
Tony Blair	ٹونی بلیئر
Buginese	بگنی
build	تعمیر کریں
pseudo	نقلی
pseudo	جھوٹی
psilosis	گنجا پن
pseudonym	تخلص
psora	کھجلی
psora	خارش
psychic	نفسی
psychic	دماغی
horologe	گھڑی
horologe	ساعت
horologer	گھڑی ساز
horoscope	جنم پتری
horoscope	تالع
horoscope	ذائچہ
horoscopy	ستارہ شناسی
horrendous	دہشت ناک
horrendous	ہیبت ناک
horrendous	ہول ناک
ignoramus	غبی
ignoramus	جاہل
ignobly	کمینہ پن سے
ignominious	بدنام
ignominious	رسوا
ignominious	شرم ناک
ignominiously	بدنامی سے
ignominy	عر
ignominy	فضیحت
ignominy	رسوائ
encumber	رکاوٹ بننا
encumber	قرض دار بنانا
encrust	پپڑی جمانا
encroachment	دست اندازی
encrustation	پرت
encrusted	تہ دار
encumber	بار ڈالنا
encrustation	تہ
unborn	نا زائدہ
unborn	مستقبل
unbodied	بے صورت
unbodied	بے شکل
unbodied	بے جسم
unbodied	بے ڈھببا
unbolted	کھلا ہوا
unbolt	کھول دینا
unbolt	چٹخنی کھول دینا
prosperity	خوش حالی
habit	عادت
disaster	آفت
accident	حادثہ
garland	گجرا
garish	بھڑ کیلا
garish	چمک دار
garland	ہار
garland	مالا
khutbah	خطبہ
honey	شہد
heartless	سنگ دل
heartless	سخت دل
heartless	بے حس
heartless	بے درد
heartless	عشقیہ
heartiness	صدق
heartiness	ملنساری
heartiness	خلوص
hearth	آتش دان
heartless	ظالم
Red Cross	صلیب احمر
Red Cross	ریڈ کراس
UNO	ادارہٴ اقوام متحدہ
United Nations	ادارہٴ اقوام متحدہ
United Nations Organization	ادارہٴ اقوام متحدہ
UN	ادارہٴ اقوام متحدہ
UNICEF	اقوام متحدہ کے بچوں کے فنڈ
UNICEF	یونیسیف
United Nations Children’s Fund	اقوام متحدہ کے بچوں کے فنڈ
United Nations Children’s Fund	یونیسیف
Liberia	لائبیریا
Lebanon	لبنان
bond	قید
bond	مچلکہ
bone	ہاڑ
briefly	بارے
brief	جانگیا
brief	حکم نامہ
brief	سر سری
brief	اختصار
brief	خلاصہ
languid	پھیکا
languid	رنجور
languid	مردہ دل
languid	مضمحل
languid	نا توان
languid	نڈھال
languid	خمیدہ
languid	جھکا ہوا
languid	ماندہ
languid	مجھول
Nauru	نؤرو
Panama	پنامہ
probable	ممکن
probable	ممکنہ
privileged	مقدم
privity	راز داری
privity	واقفیت
privity	ذاتی علم
salaam	سلام
salaam alaikum	سلام علیکم
salaam alaikum	السلام علیکم
inducement	ترغیب
psychiatry	طب نفسی
kettledrum	ڈنکا
kettledrum	نوبت
kettle	کیتلی
kettle	پتیلی
kettle of fish	بے ڈھب حالت
kettle of fish	پریشان کن معاملہ
kettledrum	نقارہ
kettledrum	تاشہ
key	چابی
key	کلید
guiltless	بے قصور
guiltless	بے خطا
guiltless	مبرا
guiltless	معصوم
guilt	پاپ
guilt	خطا
guiltless	بے گناہ
guilt	قصور
guilty	خطا کار
guilty	گناہ گار
communicate	عطا کرنا
communicate	بخشنا
briskly	تيز
placid	ملائم
placid	پلپلا
plagiarism	ادبی سرقہ
place of worship	عبادت گاہ
place	پتہ
place	رتبہ
place	جگہ
place	مقام
place	حیثیت
place	جا
file folder	فائل فولڈر
memo	میمو
crayon	کرے آن
paintbrush	پینٹ برش
black nib	سیاہ نب
ballot box with ballot	بیلٹ کے ساتھ بیلٹ باکس
wash	نہانا
wary	محتاط
wary	چوکننا
was	تھا
wash	دھلائ
wash	دھونا
wash	غسل
wash	دھلائ کے کپڑے
Faroese	فیروئیز
inexpungible	بے قابو
inexpressive	تشنہ
inexplicable	پر اسرار
inexplicable	نا قابل وضاحت
inexplicit	مبہم
inexplicit	غیر واضح
inexpressible	نا قابل بیان
inexpressible	نا گفتنی
inexpressive	نا رسا
inexpressive	بے مطلب
gazette	اخبار
gazette	کوئ سر کاری جریدہ
gazette	روز نامہ
gazetted	جریدی
gazetteer	جغرافہ
gear	گراری
gear	الات و اوزار
gear	لباس
gear	پوشاک
gear	ساز و سامان
North Atlantic Treaty Organization	شمالی اوقیانوسی معاہدے کی تنظیم
North Atlantic Treaty Organization	نیٹو
NATO	شمالی اوقیانوسی معاہدے کی تنظیم
NATO	نیٹو
International Olympic Committee	انٹرنیشنل اولمپک کمیٹی
IOC	انٹرنیشنل اولمپک کمیٹی
League of Arab States	عرب لیگ
LAS	عرب لیگ
Arab League	عرب لیگ
European Union	یورپی یونین
European Union	یورپین یونین
European Union	یورپی اتحاد
EU	یورپی یونین
EU	یورپین یونین
EU	یورپی اتحاد
International Court of Justice	بین الاقوامی عدالت
Commonwealth of Independent States	آزاد ریاستوں کی دولت مشترکہ
CIS	آزاد ریاستوں کی دولت مشترکہ
OIC	اسلامی کانفرنس کی تنظیم
OIC	او آئی سی
Organization of the Islamic Conference	اسلامی کانفرنس کی تنظیم
Organization of the Islamic Conference	او آئی سی
Hausa	ہؤسا
Manx	مینکس
Gusii	گسی
Hindi	ہندی
Hawaiian	ہوائی
refute	کاٹنا
refutation	رد
refutation	انکار
refusing	باز
refusing	عدول
refused	رد
refused	نا منظور
refuse	پھوک
refute	رد کرنا
refute	مسترد کرنا
dodo	ڈو ڈو
caliph	خلیفہ
debilitating	لاغر کرنے والا
agree	ماننا
agree	اتفاق کرنا
agony	اذیت
agony	عذاب
agonising	شدید درد ناک
agonising	اذیت خیز
agora	چوک
agora	بازار
agony	کرب
agony	جان کنی
affection	لاگ
affection	کیفیت
affection	چاہ
predicate	توثیق
heroin	ہیروئین
hero	نائک
hero	ویر
Mecca	مکہ
employee	نوکر
employee	نوکرانی
employee	چاکر
houseboy	نوکر
houseboy	نوکرانی
houseboy	چاکر
manservant	نوکر
manservant	نوکرانی
manservant	چاکر
retainer	نوکر
retainer	نوکرانی
retainer	چاکر
servant	نوکر
servant	نوکرانی
servant	چاکر
server program	نوکر
server program	نوکرانی
server program	چاکر
serving	نوکر
serving	نوکرانی
serving	چاکر
varlet	نوکر
varlet	نوکرانی
varlet	چاکر
Bhutan	بھوٹان
Kingdom of Bhutan	بھوٹان
wide	چوڑا
Tigrinya	ٹگرینیا
understanding	فراست
avoid	کننی کاٹنا
avoid	کترانا
avital	آبائ
avital	جدی
avid	حریص
avid	مشتاق
avoid	چھوڑنا
avoid	جان بچانا
avocation	مشغلہ
avoid	آج کل کرنا
intention	ارادہ
purpose	ارادہ
extend	پھیلانا
extended	دراز
expurgate	خارج کرنا
extend	بڑھانا
extend	پسارنا
expunge	پونچھنا
expurgate	غلاظت سے پاک کرنا
Active Directory Domain Services	زیر عمل ڈائریکٹری عمل داری خدمات
Active Directory	فعال ڈائرکٹری
Active Directory contact	ڈائرکٹری کے فعال رابطے
Active Directory Connector	فعال ڈائرکٹری رابطہ کار
active content	زیر عمل مشمول
voracious	لال چی
Fijian Dollar	فجی کا ڈالر
voracious	ہپپ
euro	یورو
euros	یورو
Fijian dollar	فجی کا ڈالر
Fijian dollars	فجی کا ڈالر
vomit	جی برا ہونا
meddle	گڑ بڑ کرنا
meddle	گھسنا
medal	تمغہ
medal	تمغہ دینا
medallion	بڑا تمغہ
meddle	دخل اندازی کرنا
mechanic	دست کار
mechanic	مستری
mechanism	پرزوں کی ساخت
medal	نشان
cleft	پھاٹ
cleft	شق
clement	با مروت
clement	مشفق
clemency	کرم
clemency	نرم دلی
sheik	شیخ
hot water	اذیت
hot water	مشکل
hotbed	پودا خانہ
hothouse	پود گھر
hot	تیز
hotbed	بدمعاشی کا اڈا
hot tempered	گرم مزاج
hot tempered	غصیلا
hot rod	پھٹیچر تیز رفتار گاڑی
hot tempered	آتش مزاج
raving	واہی تباہی
astronaut	خلا نورد
astronomy	ہئت
astronomy	علم ال نجوم
astute	چالاک
astute	ژرف
asunder	جدا
asylum	دار الامان
asylum	پناہ
asylum	ٹھکانا
unapt	سست
unapt	نکما
unapt	بے محل
unapproved	رد کردہ
unapt	نا موزوں
unapt	بے تکا
unapproved	بلا منظوری کے
unapproved	بے منظوری
unapproved	ناپسندیدہ
unapproved	نا منظور کردہ
pretention	شوق
pretext	فعل
pretext	بہانہ
pretentious	نخریلا
elegant	سندر
grazioso	سندر
statuesque	سندر
complain	شکایت
gossip	گپ شپ کرنا
promise	وعدہ
blame	الزام لگانا
criticize	نقطہ چینی کرنا
mock	مذاق اڑانا
insult	بے عزتی کرنا
loop	حلقہ
sign	سراغ
sign	ایما
sign	اشارہ
sign	اثر
sign	پتہ
sign	پہچان
sign	نشان
sign	نشانی
non partisanship	غیر وا بستگی
non payment	عدم ادائگی
non observance	نظر اندازی
non partisan	غیر وابستہ
non partisan	واقفیت
non partisanship	غیر طرف داری
non presence	عدم موجودگی
corpse	جسد
corpse	لاشہ
corpse	لاش
carcass	جسد
carcass	لاشہ
carcass	لاش
carrion	جسد
carrion	لاشہ
carrion	لاش
cadaver	جسد
cadaver	لاشہ
cadaver	لاش
corse	جسد
corse	لاشہ
corse	لاش
body	جسد
body	لاشہ
body	لاش
dead body	جسد
dead body	لاشہ
dead body	لاش
representation	گزارش
representation	عرض
represent	رداد سنانا
represent	قائم مقامی کرنا
representative	مخطار
representative	مندوب
representation	نمائندگی
representation	نیابت
representative	قائم مقام
representative	نمائندہ
last week	پچھلے ہفتہ
next month	اگلے مہینہ
this month	اس مہینہ
mo.	ماہ
qtr.	سہ ماہی
last month	پچھلے مہینہ
innocent	آلہڑ
resolve	نیت
bus	بس
ear	کان
make	تیار کرنا
Dumont d’Urville	ڈومونٹ ڈی ارویلے
pot	کیتلی
pot herb	سبزی
posture	طرز
posture	ٹھاٹ
posture	ادا
posture	کیفیت
pot	برتن
pot	ہانڈی
posture	وضع
posturing	ادائن
pea	مٹر
paper	کاغذ
pain	درد
owl	الو
what’s the matter	کیا بات ہے؟
unchain	کھول دینا
unchain	آزاد کر دینا
uncertified	غیر مصدقہ
uncertainty	تذبذب
unchained	کھلا ہوا
unchained	بندہ آزاد
unchain	خلی چھٹی دے دینا
unchain	خلا چھوڑنا
unchallenged	بے مقابلہ
unchained	زنجیروں سے آزاد
wound	گھاؤ
wound	چوٹ
bellicosity	جنگ طلبی
thirty-three	تینتیس
thirty-four	چونتیس
thirty-one	اکتیس
Jersey	جرسی
socks	موذہ
socks	جراب
soft	گداز
soft	گھلا
soft	کومل
soft	ہلکا پھلکا
soft	ملائم
soft	لوچ دار
soft	پچ پچا
soft	نرم
freshness	جوبن
Shiny Ahuja	روشن اَہُجا
blossom	پهول
flower	پهول
thin	چھریرا
thin	چھدرا
thigh	ران
thin	دبلا
thin	کاغذی
thin	دھان پان
thin	دقیق
thin	لاغر
thin	لطیف
Formosa	تائیوان
Taiwan	تائیوان
Republic of China	تائیوان
drug	جڑی بوٹی
drug	دوائ
drug	درمان
drug	دوا
drug	دار
drudge	مشقت کرنا
drudge	محنت کرنا
drudge	جتنا
druggie	چرسی
druggie	افیمچی
yon	وہ
yonder	پرلا
yokel	اجڈ
yolk	انڈے کی زردی
yolky	انڈے کی زردی کے ما نند
yolky	نرم
yolky	ریشمی
yon	آگے
yon	پرے
yon	سامنے کا
eatable	کھادیہ
edible	کھادیہ
esculent	کھادیہ
manducable	کھادیہ
pabular	کھادیہ
pabulous	کھادیہ
journey	سفر
French	فرانسیسی
French	فرانسیسی زبان
unique	یگانہ
bluff	دھونس
supine	متعصب
supervisor	نگران
supervision	پاس
floozie	بیسوا
correcting	پر داخت
correction	درستی
correct	سچا
correct	ٹھیک
correct	ثابت
correct	صحیح
correct	پکا
correct	راست
correct	بجا
correct	درست
feudal system	جاگیر دارانہ نظام
feudalism	جاگیر دارانہ نظام
serfdomite	جاگیر دارانہ نظام
family	خاندان
people	خاندان
family	خاندان
family circle	خاندان
Sept	خاندان
ancestry	خاندان
blood	خاندان
bloodline	خاندان
family	خاندان
house	خاندان
ichimon	خاندان
kin	خاندان
kinfolk	خاندان
kinsfolk	خاندان
line	خاندان
lineage	خاندان
origin	خاندان
parentage	خاندان
phratry	خاندان
relatives	خاندان
stock	خاندان
coffee	قہوہ
coffee	کوفی
coffee	کافی
F. H. Bradley	فرانسس ہربرٹ براڈلے
achieve	پورا کرنا
achieve	تعمیل کرنا
achieve	تیر مارنا
achievement	حصول
achievable	قابل تکمیل
achieve	حاصل کرنا
achieve	نباہنا
achieve	پانا
achievement	کامیابی
achievement	کار نامہ
imposture	بہروپ
meagre	دبلا
meagre	کم
meagre	بانجھ
meagre	چھوٹا
meadow	سبزہ زار
meagre	بہت کم
mea culpa	اپنی غلطی سے
meadow	چرا گاہ
meagre	ناکافی
meagre	پتلا
undertaking	کام
undertaking	کار
undertake	ہامی بھرنا
undertake	قول دینا
undertake	قبول کرنا
undertake	کوشش کرنا
undertake	ضمانت دینا
undertake	ذمہ لینا
undertaker	جو کسی کام کرنے کا ذمہ لے
undertaker	تابوت بر دار
12 Hour System (0–11)	12 گھنٹے کا نظام (0–11)
Northern Mariana Islands	شمالی ماریانا آئلینڈز
defame	بہتان باندھنا
humanist	انسان دوست
humanist	انسانیت پسند
humanely	شفقت سے
humanism	انسان شناسی
humanism	انسانیت پسندی
humanism	تہذیب
humane	رحیم
humane	شفیق
humanely	انسانیت سے
humanely	نرم دلی سے
up to	تک
juvenile court	عدالت اطفال
juvenile	طفلی
juvenile delinquency	طفلانہ خطا
juvenile delinquent	طفل خطا کار
juvenile delinquency	طفلانہ جرم
juvenilia	آثار شباب
juvenile officer	طفلان خطا کار کا نگہبان
juvenilism	نوجوانی
developement	نشو و نما
developement	نم
develope	ترقی کرنا
ask	پوچھنا
ashamed	محجوب
ashamed	نادم
ash	خاک
ashamed	خجل
ashamed	شرمندہ
ashes	خاکستر
ashamed	پشیمان
ashamed	شرمسار
aside	بہ کنار
aside	جدا گانہ
cowboy	گوپال
cowboy	کاؤبای
Georgia	جارجیا
sleep	سوپن
nonfulfilment	نا ادائگی
nonplus	حیرانی
trouble	جھمیلا
trouble	جنجال
trouble	حرج
trouble	فکر
trouble	دقت
trouble	آزردگی
trouble	آزار
trouble	وبال جان ہونا
trouble	کسالا
trouble	جھنجھٹ
shortcut menu	تیز راہ مینیو
Scotland	اسکاچستان
offline Help	آف لائن مدد
offline mode	آف لائن موڈ
jabberer	بکی
ivy	لتر
ivy	پیچک
ivy	عشق پیچان
ivy	لبلاب
jab	گھاؤ لگانا
jabber	بڑبڑانا
jab	بھونک دینا
jab	چبھونا
also	بھی
permitted	حلال
permitted	جائز
permission	بار
permission	چھٹی
permission	اجازت
permission	پروانہ
permission	رضا
permission	رخصت
permit	اجازت دینا
permit	رخصت کرنا
unlike	مختلف
incense	لوبان
incendiary	آتش ریز
incense	آگ بھڑکانا
incarceration	حبس
incarceration	قید
incarcerate	محبوس کرنا
incarcerate	قید میں ڈالنا
Bermuda Triangle	مثلث برمودا
advantage	فائدہ
advantage	فایدہ
benefit	فائدہ
benefit	فایدہ
Eritrea	اریتریا
predawn	آخر شب
predawn	صبح کاذب
predation	لوٹ مار
predation	تباہی
predator	لٹیرا
precursor	پیش رو
predate	پیشگی تاریخ ڈالنا
predating	لوٹ مار
Mohenjo-daro	موئن جو دڑو
unbeatable	نا قابل شکست
unbeatable	نا قابل سبقت
unbeaten	غیر پا مال شدہ
unbeaten	غیر مغلوب
unbearable	نا گزیر
unbearable	غیر متحمل
unbearably	نا قابل برداشت طور پر
unbearable	نا قابل برداشت
unbecoming	بھدا
unbecoming	بد زیب
feminal	زنانہ
feminine	مننس
female	عورت
female	لڑکی
felt	محسوس
felt	نمدہ
femaleness	عورت پنا
femaleness	زنانہ پن
female	مادہ
female	زن
politeness	مروت
Jew	یہودی
Jew	یہودنی
piece	پر کالہ
throat	گلا
slump of the market	کساد بازاری
slump	کساد
slumber	غفلت
smacking	خوش گوار
sly	بانکا
small	خرد
small	چھوٹا
vexedness	پریشانی
vexedly	تنگ ا کر
vexedly	دق ہو کر
vexed	زچ
shorten	گھٹنا
pusillanimous	بزدل
pushy	مہم جو
pussy	بلی
pusillanimous	کمینہ
pustule	پھنسی
pussy	پیپ بھرا
nose	ناک پکڑ کر چلانا
nose	قابو میں رکھنا
noses	کسی گروہ یا مجمع میں آدمیئوں کا شمار
nose	ناک کی سیدھ میں
nose	تھوڑے فرق سے
nose	تھوڑی کسر سے
sun	سورج
mail contact	مراسلاتی رابطہ
Magnifier	مکبر
mail	ڈاک
waterfall	آبشار
steaming bowl	بھاپ نکالتا پیالہ
spaghetti	اسپیگٹی
embracing	ہم آغوش
embrace	لپٹنا
embrace	چپٹنا
embrace	چمٹانا
embrace	لپٹانا
embrace	گلے لگنا
embrace	سینہ لگانا
embrace	پہل گرم کرنا
embrace	ہم آغوشی
embrace	آغوش
electromagnet	برقناطیس
solenoid	برقناطیس
obfuscation	اندھیرا
obfuscation	تاریکی
obituary	موت کی خبر
object	اعتراض کرنا
Berlin	برلن
gaunt	سوکھا
gaunt	پتلا
victory	فیروزی
victory	جیت
victoriously	ظفر یابی سے
victory	فتح
victual	غذا
victual	رسد
victory	نصرت
victory	ظفر
victuals	دانہ پانی
victuals	معقولات
DTD	DTD
due date	واجب تاریخ
yawning	نیم خوابیدہ
yawning	انگڑائ
yawn	منہ کا پھٹ جانا
yawn	جماہی
yawn	انگڑائ لینا
yawn	جماہی لینا
yawn	پھیر
yawner	جماہی لینا والا
yawn	انحراف
yawn	منہ کا پھٹ جانا
war	جنگ
linked paperclips	جڑے ہوئے پیپر کلپس
triangular ruler	تکونی رولر
file cabinet	فائل کیبنٹ
card file box	کارڈ فائل باکس
open lock	کھلا لاک
lock	لاک
unable	عاری
afresh	از سر نو
nail	ناخن
Shahadah	شہادت
travel	سفر کرنا
slave	غلام
honor	عزت
burly	ابھرا ہوا
burly	موٹا
burly	ہٹا کٹا
burly	دبنگ
burliness	جسامت
burlesque	مضحکہ خے نقل
burlap	ٹاٹ
nick	شمار
burn	جلنا
burn	دغ لگنا
nicker	دندانہ یا نشان بنانے والا
rolling pin	بیلن
pinch	چرانا
pilfer	چرانا
steal	چرانا
out of town	عجیب
out of town	غریب
Doris Lessing	ڈورس لیسنگ
country	وطن
country	بلادی
countryside	دیہاتی علاقہ
couple	بیت
couple	جوڑا
couple	جفت
couplet	بیت
couplet	دوہا
couplet	شعر
courage	بہادری
comfort	تسلی
comfortable	آرام دہ
inexperience	نا تجربہ کاری
inexperience	خامی
throughout	بھر
valiantly	بہادری سے
valiantness	بہادری
valiant	نڈر
valiant	شجاع
valiantness	جرات
valiantness	شجاعت
valiantness	بل
valiantness	دلیری
valiantness	طاقت
valid	آئنی
underdo	کچا رکھنا
underdo	کم گلانا
underdeveloped	کم اشکارا
underdeveloped	کم اجاگر
undercut	نیچے سے کاٹنا
undercut	پٹھ کا گوشت
underdeveloped	ترقی پزیر
underdo	ادھ گلا رکھنا
underdeveloped	پس ماندہ
underdeveloped	پچھڑی
palanquin	پالکی
pajamas	پایجامه
pajamas	پاجاما
Windows SideShow	۔Windows سائیڈ شو
Windows System Image Backup	Windows نظام نقش پشتارہ
paraphrase	تاویل کرنا
paraphrase	تفسیر کرنا
paramour	آشنا
paranormal	غیر فطری
paraphernalia	ساز و سامان
Indonesian	انڈونیثیائی
balance	ترازو
balance	تلا
balance	میزان
carapace	ترازو
carapace	تلا
carapace	میزان
libra	ترازو
libra	تلا
libra	میزان
scale	ترازو
scale	تلا
scale	میزان
scales	ترازو
scales	تلا
scales	میزان
weighing scale	ترازو
weighing scale	تلا
weighing scale	میزان
General Sherman	جنرل شرمن
hydrogen	ہائیڈروجن
hydrogen	ہائڈروجن
fortune	نصیب
fortune	قسمت
fortunate	کام ران
fortunate	شاد کام
fortunately	خوش قسمتی سے
term	شرط
terminal	انتہائ
gossip	گپ شپ
gossip	لگائ بجھائ کرنا
gossip	ادھر کی ادھر لگانا
PivotTable view	منظر PivotTable
PivotTable list	۔PivotTable فہرست
PivotTable data	۔Pivot Table کوائف
PivotChart view	منظر PivotChart
pixel	دانہ
jaunty	بانکا
jaunty	ہنس مکھ
jaundiced	یرقان زدہ
jaunt	مٹر گشت
jaunt	سیر
jaunty	البیلا
jaundiced	حاسد
jaundiced	حاسد انہ
jaundiced	کج بین
jaundiced	کج نظر
service	ملازمت
service	نوکری
service	بندگی
service	خدمت
serve	پانی بھرنا
servant	عبد
serve	خمدت کرنا
serve	نوکری کرنا
servile	غلامانہ
servile	ستم رسیدہ
inconvenience	تکلیف
inconvenience	زحمت
inconvenient	نا موافق
inconvertible	محکم
incorporate	شامل کرنا
incorporation	دخول
Ash-Shura	الشوریٰ
squared together ideograph	چوکور اکٹھے کی تصویری علامت
squared fullness ideograph	چوکور کاملیت کی تصویری علامت
black small square	کالا چھوٹا چوکور
white small square	سفید چھوٹا چوکور
Kabul	کابل
trigger	حرکت میں لانا
trigger	بندوق کا گھوڑا
trig	رکاوٹ ڈالنا
trig	بھرنا
trig	لائق
trig	با قائدہ
trifling	تھوڑا
trifling	سبک
trifling	غیر اہم
trifling	بے قدر
spindle	پھرکی
spindle	دوک
spinner	کاتنے والا
spine	ریڑہ
spin	پھیرنا
spin	کاتنا
spinal marrow	حرام مغز
spinning wheel	چرخہ
spinning	کتائ
vehement	سر گرم
vehement	سخت
vehemence	تیزی
vehemence	شدت
increase	باڑھ
rise	باڑھ
maligning	نیش زنی
malignity	بیر
malignity	نحوست
malinger	بیمر بننا
malignant	خبیث
malignant	مہلک
malignant	مضر
maligning	کینہ پروری
mall	خیابان
mallard	جنگلی بطخ
stupid	خر دماغ
stupid	چوغد
stupid	ان گھڑ
stupid	احمقانہ
stupid	بے وقوف
stupid	بے خبر
stupefy	بد حواس کر دینا
stupefy	سکتے میں آنا
stupid	احمق
stupefy	دم بہخود کر دینا
suspended	لٹکا ہوا
Neptune	نیپچون
sesame	تل
mutt	کند ذہن
muttering	بڑبڑاہٹ
mutiny	آشوب
mutiny	بغاوت
mutiny	فتنہ
mutiny	غدر
mutinous	باغیانہ
mutinous	سرکشانہ
mutt	بے وقوف
mutt	دوغلا کتا
inosculate	باہم ملنا
inosculation	پیوند
wretched	ذلیل
wretchedly	بد بختی سے
fondle	پیار کرنا
fondle	پھسلانا
fondle	لاڈ کرنا
fondle	چمکارنا
fondness	پریت
fondness	محبت
fondness	لپکا
syringe	مِحقِنَہ
needle	مِحقِنَہ
Age of Enlightenment	دور استبصار
Renaissance	نشاۃ ثانیہ
Crusades	صلیبی جنگیں
Cold War	سرد جنگ
World War Ⅱ	دوسری جنگ عظیم
Second World War	دوسری جنگ عظیم
World War Ⅰ	پہلی جنگ عظیم
First World War	پہلی جنگ عظیم
Industrial Revolution	صنعتی انقلاب
advantage	حصول
advancement	پیش قدمی
advancement	بر تری
advancement	بڑھاوا
advanced	ترقی یافتہ
advanced	قبل از وقت
icon	شبیہ
advantage	پہل
choky	گل گیر
choky	اختناقی
cholesterol	چربی
boxing	مکے بازی
participate	شرکت
irruption	حملہ
call	یاد آوری
call	طلب
call	بلانا
call	سدا دینا
call	یاد کرنا
call	جگانا
call	دعوت
call	بلاوا
call	پکار
call	ندا
bluster	دھونس جمانا
Azerbaijani manat	آذربائجانی منات
Persian	پارسی
Persian	فارسی
Saudi Arabia	سعودی عرب
Saturday	ہفتہ
Danish	ڈينش
Russian	روسی
underline	خط کشیدہ
underline	خط کشیدہ کرنا
underling	ملازم
French	فرانسيسي
French language	فرانسيسي
apparition	عفریت
apparently	ظاہرن
apparent	ظاہر
appeal	عرض
apparition	سایہ
trickery	دم
uncounted	ان گنا
uncounted	ان گنت
uncorrupted	نیک
uncorrupted	نیک چلن
uncorrupt	ایمان دار
uncorrupt	نیک
uncorrupt	نیک چلن
uncorrupted	با اخلاق
organisation	انتظام
organisation	نظام
organisation	جماعت
organised	مترتتب
organised	متنطم
organisation	بند و بست
organisation	انجمن
organisational	تنظیماتی
organisation	ترتیب
analgesic	مُسَـکِّن
raspberry	تُوت الارض
Mozambique	موزمبیق
lend	دینا
lend	بخشنا
lend	ادھار دینا
lend	کرائے پر دینا
lend	ادھار دینا
lend	قرض دینا
length	درازی
length	عرصہ
length	لمبان
length	لمبائ
numerous	کثیر
numerous	بہت
numerosity	بہتات
numerosity	افراط
numerous	با افراط
numerosity	کثرت
numerical	تعدادی
numerical	شماری
numerically	رقمی حساب سے
numerically	گنتی کے لحاظ سے
bed	بستر
joker	مسخرہ
joker	ہنسوڑ
joker	مزاحیہ کردار
joke	مذاق
joke	لطیفہ
